Name,Years Alive,Fields of Contribution,Short Description,Detailed Description
Al-Jazari,Early 13th century,"Engineering, Mechanical Engineering, Automation",Creating automated machines water clocks and mechanical devices,"Al-Jazari was a mechanical engineer who created numerous ingenious mechanical devices including water-raising machines, clocks, and automata. His most famous work ""The Book of Knowledge of Ingenious Mechanical Devices"" (1206) documented 50 mechanical devices with instructions on how to build them. He is considered one of the fathers of robotics and modern mechanical engineering."
Ibn al-Haytham,965-1039,"Optics, Physics, Mathematics, Astronomy, Medicine",Revolutionizing optics and developing the scientific method,"Ibn al-Haytham revolutionized optics, taking the subject from philosophical discussions to a science based on experiments. He correctly explained the process of vision, described the structure of the eye, and invented the camera obscura. His Book of Optics had a profound influence on European scientists. He is also credited with early development of the scientific method through his emphasis on experimental evidence."
Jabir ibn Hayyan,722-815,"Chemistry, Alchemy, Pharmacy, Medicine, Astronomy, Philosophy",Founding experimental chemistry and discovering important acids,"Jabir ibn Hayyan perfected the distillation process and discovered vitally important acids including sulfuric, nitric, and hydrochloric acids. He designed and used more than 20 laboratory instruments, developed cooling techniques, and established the foundations of modern chemistry. His works were translated into Latin and had significant influence on European alchemists and chemists."
Al-Zahrawi,936-1013,"Medicine, Surgery, Pharmacy",Transforming surgery through innovative techniques and instruments,"Al-Zahrawi was a revolutionary physician and surgeon who wrote Al-Tasrif, a 30-volume medical encyclopedia that included detailed accounts of dental, pharmaceutical, and surgical practices. He invented numerous surgical instruments (over 200) including forceps, scalpels, and the surgical needle. He was the first to use catgut for internal stitches and described numerous surgical procedures still in use today."
Ibn Sina,980-1037,"Medicine, Philosophy, Astronomy, Chemistry, Geology, Psychology, Theology, Mathematics, Physics, Poetry",Writing the Canon of Medicine a comprehensive medical encyclopedia,"Ibn Sina was a polymath whose Canon of Medicine became the standard medical text in Europe for over 700 years. He described numerous diseases and their treatments, introduced systematic experimentation in medicine, and made significant contributions to anatomy, gynecology, and pediatrics. Beyond medicine, he made important contributions to philosophy, astronomy, and other fields."
Al-Biruni,973-1050,"Astronomy, Mathematics, Physics, Geography, History, Pharmacy",Calculating Earth's circumference and developing scientific methods,"Al-Biruni spent most of his life studying the Earth and its features. He calculated the Earth's circumference with remarkable accuracy, developed methods to determine longitude and latitude, and made significant contributions to geodesy. He wrote extensively on India, minerals, astronomy, and mathematics, producing over 146 works across various disciplines."
Al-Kindi,801-873 (approximate),"Philosophy, Mathematics, Cryptography, Physics, Medicine, Music",Developing frequency analysis for cryptography and contributions to philosophy,"Al-Kindi was an encyclopedic polymath working as a physician, philosopher, mathematician, cryptographer, musician, and astronomer. He developed the technique of frequency analysis for breaking ciphers, made significant contributions to optics, and was among the first to introduce Greek philosophy to the Arabic-speaking world. He wrote hundreds of treatises on a wide range of subjects."
Ibn Battuta,1304-1368/70,"Geography, Exploration, Travel Writing",Extensive travels throughout the medieval world,"Ibn Battuta traveled more than 75,000 miles over 29 years, visiting the equivalent of 44 modern countries. His journey began as a pilgrimage to Mecca but expanded into a global exploration. His travel account, the Rihla, provides valuable insights into the medieval world, its cultures, peoples, and geography, making him one of history's greatest travelers."
Al-Idrisi,1099-1166,"Geography, Cartography",Creating detailed world maps and geographical works,"Al-Idrisi was commissioned by the Norman King Roger II of Sicily to create a world map. The resulting work, known as the Tabula Rogeriana (1154), was the most accurate world map of its time. His accompanying book ""Nuzhat al-Mushtaq"" contained detailed information about the world's regions, peoples, and trade routes. His cartographic work influenced European exploration for centuries."
Ibn Khaldun,1332-1406,"History, Sociology, Economics, Political Science",Founding modern sociology and historiography,"Ibn Khaldun wrote Al-Muqaddimah (The Introduction), a groundbreaking work on universal history that established the foundations of several social sciences. He developed theories on social cohesion, economic development, and the rise and fall of civilizations. He is considered the father of sociology, historiography, and economics, introducing scientific methods to the study of society centuries before Western scholars."
